target_rank,feasible,Prestiz,Absolwenci,PotencjalNaukowy,Innowacyjnosc,EfektywnoscNaukowa,WarunkiKsztalcenia,Umiedzynarodowienie
4,True,0.0,0.0,0.0,0.0,0.6915992283874073,0.0,7.607953715866023
4,True,0.0,0.0,0.0,0.0,2.1662730825241394,0.0,2.5438663045753707
4,True,0.0,0.0,0.0,0.0,0.1381778884149032,0.0,9.633574515643273
4,True,0.0,0.0,0.0,0.0,0.8630322852950623,0.0,6.997014546558178
4,True,0.0,0.0,0.0,0.0,2.909180107058096,0.0,0.18098772025384458
4,True,0.0,0.0,0.0,0.0,0.2578547024067346,0.0,9.181336594408906
4,True,0.0,0.0,0.0,0.0,0.9089763160350706,0.0,6.818651123484221
4,True,0.0,0.0,0.0,0.0,1.8449244998299474,0.0,3.619618307470629
4,True,0.0,0.0,0.0,0.0,0.4531428401223003,0.0,8.496784229965915
4,True,0.0,0.0,0.0,0.0,0.07756711037842923,0.0,9.86802588611101
4,True,0.0,0.0,0.0,0.0,1.4919923788773937,0.0,4.792455050889622
4,True,0.0,0.0,0.0,0.0,0.033330248861829226,0.0,10.02671670480747
4,True,0.0,0.0,0.0,0.0,2.032193386513248,0.0,2.9833589482040845
4,True,0.0,0.0,0.0,0.0,2.0945040298464113,0.0,2.777729576920107
4,True,0.0,0.0,0.0,0.0,1.6205690345871382,0.0,4.3593761096129775
4,True,0.0,0.0,0.0,0.0,1.5912562839289546,0.0,4.45767607468065
4,True,0.0,0.0,0.0,0.0,0.4687960973912997,0.0,8.403050161942083
4,True,0.0,0.0,0.0,0.0,2.1112826326774026,0.0,2.722582488755676
4,True,0.0,0.0,0.0,0.0,2.951057581472283,0.0,0.044427130299951045
4,True,0.0,0.0,0.0,0.0,2.6142627811636787,0.0,1.1053744509777252
4,True,0.0,0.0,0.0,0.0,1.8854616222688803,0.0,3.4714346680597363
4,True,0.0,0.0,0.0,0.0,2.5608493413693534,0.0,1.2821261370830062
4,True,0.0,0.0,0.0,0.0,0.7313253013446319,0.0,7.461275812048729
4,True,0.0,0.0,0.0,0.0,1.9976323495489612,0.0,3.100613180702283
4,True,0.0,0.0,0.0,0.0,0.12159692435500524,0.0,9.697856182002118
4,True,0.0,0.0,0.0,0.0,0.8454228525968,0.0,7.045964174261766
4,True,0.0,0.0,0.0,0.0,0.3764196689200139,0.0,8.748573407406779
4,True,0.0,0.0,0.0,0.0,2.288547124944107,0.0,2.146301497352543
4,True,0.0,0.0,0.0,0.0,2.754783958381224,0.0,0.6599751788298858
4,True,0.0,0.0,0.0,0.0,1.6309323001679976,0.0,4.322591884718863
4,True,0.0,0.0,0.0,0.0,2.7522446736765738,0.0,0.6641118588983974
4,True,0.0,0.0,0.0,0.0,2.398312808349723,0.0,1.7901720506358076
4,True,0.0,0.0,0.0,0.0,0.7898152553059923,0.0,7.246167447062479
4,True,0.0,0.0,0.0,0.0,0.5070295294173799,0.0,8.273491556930846
4,True,0.0,0.0,0.0,0.0,1.19189284522081,0.0,5.8304511511576
4,True,0.0,0.0,0.0,0.0,0.44374319505862125,0.0,8.497108258062024
4,True,0.0,0.0,0.0,0.0,2.492971644007569,0.0,1.4884240275814586
4,True,0.0,0.0,0.0,0.0,0.5741925877186471,0.0,8.036296655461106
